"Step","lemon-plasma-45 - val_loss_stage_1:_pretraining_on_cosmos","lemon-plasma-45 - val_loss_stage_1:_pretraining_on_cosmos__MIN","lemon-plasma-45 - val_loss_stage_1:_pretraining_on_cosmos__MAX"
"0","1.6063882120957753","1.6063882120957753","1.6063882120957753"
"1","0.4088982938264178","0.4088982938264178","0.4088982938264178"
"2","0.2147006910598041","0.2147006910598041","0.2147006910598041"
"3","0.1961287537240737","0.1961287537240737","0.1961287537240737"
"4","0.11282622609400464","0.11282622609400464","0.11282622609400464"
"5","0.06908716523198968","0.06908716523198968","0.06908716523198968"
"6","0.06513660739256305","0.06513660739256305","0.06513660739256305"
"7","0.03390548184847916","0.03390548184847916","0.03390548184847916"
"8","0.02685454174734381","0.02685454174734381","0.02685454174734381"
"9","0.015241345529873778","0.015241345529873778","0.015241345529873778"
"10","0.017572657902934653","0.017572657902934653","0.017572657902934653"
"11","0.010559638972284971","0.010559638972284971","0.010559638972284971"
"12","0.0106475246017121","0.0106475246017121","0.0106475246017121"
"13","0.011005705398412653","0.011005705398412653","0.011005705398412653"
"14","0.0070619655382613","0.0070619655382613","0.0070619655382613"
"15","0.014248844986888793","0.014248844986888793","0.014248844986888793"
"16","0.007678385673794014","0.007678385673794014","0.007678385673794014"
"17","0.0076351885118702495","0.0076351885118702495","0.0076351885118702495"
"18","0.005615911019917055","0.005615911019917055","0.005615911019917055"
"19","0.007615403141314917","0.007615403141314917","0.007615403141314917"
"20","0.0058948397167143726","0.0058948397167143726","0.0058948397167143726"
"21","0.013647278004659797","0.013647278004659797","0.013647278004659797"
"22","0.0084744878383755","0.0084744878383755","0.0084744878383755"
"23","0.008532424346353066","0.008532424346353066","0.008532424346353066"
"24","0.007027138521545881","0.007027138521545881","0.007027138521545881"
"25","0.014619778742671083","0.014619778742671083","0.014619778742671083"
"26","0.005766998383339251","0.005766998383339251","0.005766998383339251"
"27","0.006874157469157968","0.006874157469157968","0.006874157469157968"
"28","0.005340318041067568","0.005340318041067568","0.005340318041067568"
"29","0.006179657724724876","0.006179657724724876","0.006179657724724876"
"30","0.010042287698931831","0.010042287698931831","0.010042287698931831"
"31","0.006411323654617564","0.006411323654617564","0.006411323654617564"
"32","0.016344784155743437","0.016344784155743437","0.016344784155743437"
"33","0.004778407320794097","0.004778407320794097","0.004778407320794097"
"34","0.00508559447654518","0.00508559447654518","0.00508559447654518"
"35","0.007689219923598022","0.007689219923598022","0.007689219923598022"
"36","0.006913752173789967","0.006913752173789967","0.006913752173789967"
"37","0.004455550058244042","0.004455550058244042","0.004455550058244042"
"38","0.0056329496051096975","0.0056329496051096975","0.0056329496051096975"
"39","0.009541521816984486","0.009541521816984486","0.009541521816984486"
"40","0.006517856353090579","0.006517856353090579","0.006517856353090579"
"41","0.00662345221527222","0.00662345221527222","0.00662345221527222"
"42","0.0073364049106343044","0.0073364049106343044","0.0073364049106343044"
"43","0.00799114990380412","0.00799114990380412","0.00799114990380412"
"44","0.0071605085492237016","0.0071605085492237016","0.0071605085492237016"
"45","0.004937259417317175","0.004937259417317175","0.004937259417317175"
"46","0.00723751635769052","0.00723751635769052","0.00723751635769052"
"47","0.006252113596747712","0.006252113596747712","0.006252113596747712"
"48","0.007325191620575399","0.007325191620575399","0.007325191620575399"
"49","0.004711706674613204","0.004711706674613204","0.004711706674613204"
"50","0.020647504620192537","0.020647504620192537","0.020647504620192537"
"51","0.005635553092860198","0.005635553092860198","0.005635553092860198"
"52","0.0054100089113107526","0.0054100089113107526","0.0054100089113107526"
"53","0.008555748346785706","0.008555748346785706","0.008555748346785706"
"54","0.0039267548106154525","0.0039267548106154525","0.0039267548106154525"
"55","0.003928477812899343","0.003928477812899343","0.003928477812899343"
"56","0.0038176096797571833","0.0038176096797571833","0.0038176096797571833"
"57","0.004048960582242408","0.004048960582242408","0.004048960582242408"
"58","0.003939100691318013","0.003939100691318013","0.003939100691318013"
"59","0.003888758413372511","0.003888758413372511","0.003888758413372511"
"60","0.003944396561794102","0.003944396561794102","0.003944396561794102"
"61","0.004517385387905206","0.004517385387905206","0.004517385387905206"
"62","0.004214049533315159","0.004214049533315159","0.004214049533315159"
"63","0.0045066244974515885","0.0045066244974515885","0.0045066244974515885"
"64","0.004065098345635529","0.004065098345635529","0.004065098345635529"
"65","0.003923585692689204","0.003923585692689204","0.003923585692689204"
"66","0.006795888369516382","0.006795888369516382","0.006795888369516382"
"67","0.0038991377720009345","0.0038991377720009345","0.0038991377720009345"
"68","0.003840441893551008","0.003840441893551008","0.003840441893551008"
"69","0.003624792913403431","0.003624792913403431","0.003624792913403431"
"70","0.0046989079894993145","0.0046989079894993145","0.0046989079894993145"
"71","0.00392841487932157","0.00392841487932157","0.00392841487932157"
"72","0.003961312121663348","0.003961312121663348","0.003961312121663348"
"73","0.0056510208532853665","0.0056510208532853665","0.0056510208532853665"
"74","0.00387211570333761","0.00387211570333761","0.00387211570333761"
"75","0.003668163547657444","0.003668163547657444","0.003668163547657444"
"76","0.004640897377819322","0.004640897377819322","0.004640897377819322"
"77","0.004580451932183788","0.004580451932183788","0.004580451932183788"
"78","0.0037988767420246727","0.0037988767420246727","0.0037988767420246727"
"79","0.004111936356325702","0.004111936356325702","0.004111936356325702"
"80","0.0038676718238934453","0.0038676718238934453","0.0038676718238934453"
"81","0.009649244777486733","0.009649244777486733","0.009649244777486733"
"82","0.004983733341410364","0.004983733341410364","0.004983733341410364"
"83","0.003703488511919964","0.003703488511919964","0.003703488511919964"
"84","0.004286421148807458","0.004286421148807458","0.004286421148807458"
"85","0.004248499345835148","0.004248499345835148","0.004248499345835148"
"86","0.003394391480660709","0.003394391480660709","0.003394391480660709"
"87","0.003383650659988923","0.003383650659988923","0.003383650659988923"
"88","0.003406917118830443","0.003406917118830443","0.003406917118830443"
"89","0.0034410856824447942","0.0034410856824447942","0.0034410856824447942"
"90","0.0033551244076030426","0.0033551244076030426","0.0033551244076030426"
"91","0.003492691767034234","0.003492691767034234","0.003492691767034234"
"92","0.003575844935377943","0.003575844935377943","0.003575844935377943"
"93","0.003534846808700954","0.003534846808700954","0.003534846808700954"
"94","0.0038342622787323893","0.0038342622787323893","0.0038342622787323893"
"95","0.0035457496807637192","0.0035457496807637192","0.0035457496807637192"
"96","0.0033697319634638746","0.0033697319634638746","0.0033697319634638746"
"97","0.0038101181888981405","0.0038101181888981405","0.0038101181888981405"
"98","0.0036921202333382334","0.0036921202333382334","0.0036921202333382334"
"99","0.003456771137944995","0.003456771137944995","0.003456771137944995"
"100","0.003938846649461479","0.003938846649461479","0.003938846649461479"
"101","0.0034864619057976974","0.0034864619057976974","0.0034864619057976974"
"102","0.004313144401022399","0.004313144401022399","0.004313144401022399"
"103","0.0034760186618687885","0.0034760186618687885","0.0034760186618687885"
"104","0.0034622460649801593","0.0034622460649801593","0.0034622460649801593"
